1,2,3,4,5,6
100,3.981152227,3.960483914,3.956084426,3.942906214,3.934841468
3.981152227,100,3.966962692,3.98335554,3.926850514,3.948694699
3.960483914,3.966962692,100,3.976417776,3.931594201,3.955051314
3.956084426,3.98335554,3.976417776,100,3.950610736,3.971697548
3.942906214,3.926850514,3.931594201,3.950610736,100,3.954158101
3.934841468,3.948694699,3.955051314,3.971697548,3.954158101,100
