1,2,3,4,5,6
100,3.929454781,3.90796204,3.918401598,3.912404377,3.947503978
3.929454781,100,3.939108716,3.928310481,3.925161409,3.929882457
3.90796204,3.939108716,100,3.969592174,3.922267471,3.931332231
3.918401598,3.928310481,3.969592174,100,3.945603839,3.94256283
3.912404377,3.925161409,3.922267471,3.945603839,100,3.944519265
3.947503978,3.929882457,3.931332231,3.94256283,3.944519265,100
